obj_id|image_file|commons_link
17312|0001.tif|https://commons.wikimedia.org/wiki/File:The_Cessation_of_the_Schism_of_Anacletus_(Antonio_Pietro_di_Pietri)_-_Nationalmuseum_-_17312.tif
17313|0002.tif|https://commons.wikimedia.org/wiki/File:Landscape_with_Venus_and_Cupids_(Francesco_Albani)_-_Nationalmuseum_-_17313.tif
17315|0004.tif|https://commons.wikimedia.org/wiki/File:Diana_and_Callisto_with_Nymphs_-_Nationalmuseum_-_17315.tif
17316|0005-1.tif|https://commons.wikimedia.org/wiki/File:Galathea_-_Nationalmuseum_-_17316.tif
17319|0008.tif|https://commons.wikimedia.org/wiki/File:Head_of_a_Cherub_(Daniele_Crespi)_-_Nationalmuseum_-_17319.tif
17320|0009.tif|https://commons.wikimedia.org/wiki/File:The_Mystic_Marriage_of_St_Catherine_-_Nationalmuseum_-_17320.tif
17321|0010.tif|https://commons.wikimedia.org/wiki/File:Portrait_of_a_Man_-_Nationalmuseum_-_17321.tif
17323|0012.tif|https://commons.wikimedia.org/wiki/File:The_Penitent_Magdalen_(Cecco_del_Caravaggio)_-_Nationalmuseum_-_17323.tif
17325|0014sv.tif|https://commons.wikimedia.org/wiki/File:David_with_the_Head_of_Goliath_-_Nationalmuseum_-_17325.tif
17326|0015.tif|https://commons.wikimedia.org/wiki/File:St_John_the_Baptist_-_Nationalmuseum_-_17326.tif
17327|0016.tif|https://commons.wikimedia.org/wiki/File:Girl_Holding_a_Bunch_of_Grapes_(Antonio_Amorosi)_-_Nationalmuseum_-_17327.tif
17328|0017.tif|https://commons.wikimedia.org/wiki/File:Girl_with_a_Piece_of_Jewellery_(Antonio_Amorosi)_-_Nationalmuseum_-_17328.tif
17330|0019.tif|https://commons.wikimedia.org/wiki/File:Caterina_Cornaro,_Queen_of_Cyprus,_Receiving_a_Letter_from_the_Council_(Giuseppe_Caletti)_-_Nationalmuseum_-_17330.tif
17331|0020.tif|https://commons.wikimedia.org/wiki/File:Christ_crowned_with_Thorns_-_Nationalmuseum_-_17331.tif
17332|0021.tif|https://commons.wikimedia.org/wiki/File:Moses_and_the_Brazen_Serpent_-_Nationalmuseum_-_17332.tif
17333|0022.tif|https://commons.wikimedia.org/wiki/File:St_Jerome_in_the_Wilderness_-_Nationalmuseum_-_17333.tif
17334|0023.tif|https://commons.wikimedia.org/wiki/File:The_Cimmerian_Sibyl_-_Nationalmuseum_-_17334.tif
17335|0024.tif|https://commons.wikimedia.org/wiki/File:David_and_Saul._Study_(Sebastiano_Conca)_-_Nationalmuseum_-_17335.tif
17336|0025.tif|https://commons.wikimedia.org/wiki/File:Domine,_quo_vadis?_(Marco_Benefial)_-_Nationalmuseum_-_17336.tif
17496|0493sv.tif|https://commons.wikimedia.org/wiki/File:Italienate_Landscape_with_Ruins_-_Nationalmuseum_-_17496.tif
17497|0494-2.tif|https://commons.wikimedia.org/wiki/File:Achilles_recognized_by_Ulysses_at_the_Court_of_Lycomedes_(Gerard_de_Lairesse)_-_Nationalmuseum_-_17497.tif
17498|0495.tif|https://commons.wikimedia.org/wiki/File:Achilles_Playing_the_Lyre_before_Patrocles_(Gerard_de_Lairesse)_-_Nationalmuseum_-_17498.tif
17499|0496.tif|https://commons.wikimedia.org/wiki/File:Private_Meal_(Jan_Baptiste_Lambrecht)_-_Nationalmuseum_-_17499.tif
17500|0497.tif|https://commons.wikimedia.org/wiki/File:Private_Meal_(Jan_Baptiste_Lambrecht)_-_Nationalmuseum_-_17500.tif
17501|0498sv.tif|https://commons.wikimedia.org/wiki/File:Light_Meal_(Jan_Baptiste_Lambrecht)_-_Nationalmuseum_-_17501.tif
17502|0499sv.tif|https://commons.wikimedia.org/wiki/File:Light_Meal_(Jan_Baptiste_Lambrecht)_-_Nationalmuseum_-_17502.tif
17503|0500.tif|https://commons.wikimedia.org/wiki/File:Dido's_Sacrifice_to_Juno_(Pieter_Pietersz._Lastman)_-_Nationalmuseum_-_17503.tif
17505|0502sv.tif|https://commons.wikimedia.org/wiki/File:View_of_the_Monte_Aventino_in_Rome_(Hendrik_Frans_van_Lint)_-_Nationalmuseum_-_17505.tif
17507|0504.tif|https://commons.wikimedia.org/wiki/File:Serpent_and_Butterflies_in_the_Woods_(Otto_Marseus_van_Schrieck)_-_Nationalmuseum_-_17507.tif
17508|0505.tif|https://commons.wikimedia.org/wiki/File:The_Rent_Receiver's_Office_(Jan_Massys)_-_Nationalmuseum_-_17508.tif
17509|0506.tif|https://commons.wikimedia.org/wiki/File:St_Jerome_-_Nationalmuseum_-_17509.tif
17510|0507.tif|https://commons.wikimedia.org/wiki/File:Venus_Cythereia_(Jan_Massys)_-_Nationalmuseum_-_17510.tif
17511|0508.tif|https://commons.wikimedia.org/wiki/File:The_Ill-matched_Pair_(Jan_Massys)_-_Nationalmuseum_-_17511.tif
17513|0510-1.tif|https://commons.wikimedia.org/wiki/File:A_Card_Game_(Gabriel_Metsu)_-_Nationalmuseum_-_17513.tif
17515|0512.tif|https://commons.wikimedia.org/wiki/File:Old_Woman_in_a_Gossip-chair_(Gabriel_Metsu)_-_Nationalmuseum_-_17515.tif
17516|0513.tif|https://commons.wikimedia.org/wiki/File:Riders_attacked_at_a_Ford_(Adam_Frans_van_der_Meulen)_-_Nationalmuseum_-_17516.tif
17517|0514.tif|https://commons.wikimedia.org/wiki/File:Cavalry_Skirmish_(Adam_Frans_van_der_Meulen)_-_Nationalmuseum_-_17517.tif
17518|0515.tif|https://commons.wikimedia.org/wiki/File:St_John_the_Baptist_Preaching_in_the_Desert_(Jan_Miel)_-_Nationalmuseum_-_17518.tif
17524|0521sv.tif|https://commons.wikimedia.org/wiki/File:Italian_Market_Scene_(Jan_Baptiste_van_der_Meiren)_-_Nationalmuseum_-_17524.tif
17525|0522sv.tif|https://commons.wikimedia.org/wiki/File:Italian_Market_Scene_(Jan_Baptiste_van_der_Meiren)_-_Nationalmuseum_-_17525.tif
17533|0530sv.tif|https://commons.wikimedia.org/wiki/File:Landscape_with_Shepherds,_a_Dog_and_Cattle_(Jan_de_Momper)_-_Nationalmuseum_-_17533.tif
17534|0531sv.tif|https://commons.wikimedia.org/wiki/File:Landscape_with_Figures_before_a_Cottage_(Jan_de_Momper)_-_Nationalmuseum_-_17534.tif
17536|0533.tif|https://commons.wikimedia.org/wiki/File:The_Adoration_of_the_Magi_-_Nationalmuseum_-_17536.tif
17538|0535.tif|https://commons.wikimedia.org/wiki/File:Fieldmarshall_Ludwig_Andreas_Khevenhüller_(Martin_van_Meytens_d.y.)_-_Nationalmuseum_-_17538.tif
17539|0536.tif|https://commons.wikimedia.org/wiki/File:Interior_of_a_Gothic_Church_(Peeter_Neeffs_d.ä.)_-_Nationalmuseum_-_17539.tif
17542|0539.tif|https://commons.wikimedia.org/wiki/File:Portrait_of_a_Family_(Pieter_Codde)_-_Nationalmuseum_-_17542.tif
17544|0541.tif|https://commons.wikimedia.org/wiki/File:Interior_of_St_Bavo_in_Haarlem_(Isaak_van_Nickelen)_-_Nationalmuseum_-_17544.tif
17545|0542.tif|https://commons.wikimedia.org/wiki/File:Interior_of_St_Bavo_in_Haarlem_(Isaak_van_Nickelen)_-_Nationalmuseum_-_17545.tif
17546|0543.tif|https://commons.wikimedia.org/wiki/File:Interior_of_a_Gothic_Church_(Pieter_Neefs_II)_-_Nationalmuseum_-_17546.tif
17547|0544.tif|https://commons.wikimedia.org/wiki/File:The_Ship-yard_in_Amsterdam_(Reinier_Nooms)_-_Nationalmuseum_-_17547.tif
17551|0548.tif|https://commons.wikimedia.org/wiki/File:Bust_of_an_Old_Peasant_Woman_Holding_a_Jug_-_Nationalmuseum_-_17551.tif
17552|0549.tif|https://commons.wikimedia.org/wiki/File:Bust_of_an_Old_Peasant_Reading_a_Paper_-_Nationalmuseum_-_17552.tif
17555|0552.tif|https://commons.wikimedia.org/wiki/File:Peasants_Drinking_and_Smoking_(Adriaen_van_Ostade)_-_Nationalmuseum_-_17555.tif
17556|0553.tif|https://commons.wikimedia.org/wiki/File:Fight_between_Gambling_Peasants_-_Nationalmuseum_-_17556.tif
17558|0555.tif|https://commons.wikimedia.org/wiki/File:Drinking_Peasants_(Bartholomeus_Molenaer)_-_Nationalmuseum_-_17558.tif
17564|0561sv.tif|https://commons.wikimedia.org/wiki/File:Oriental_Harbour_(Bonaventura_Peters_d.ä.)_-_Nationalmuseum_-_17564.tif
17565|0562.tif|https://commons.wikimedia.org/wiki/File:Harbour_Scene_with_Reflecting_Water_(Jan_van_de_Cappelle)_-_Nationalmuseum_-_17565.tif
17578|0575.tif|https://commons.wikimedia.org/wiki/File:Bay_with_a_Rocky_Coast_(Adam_Pynacker)_-_Nationalmuseum_-_17578.tif
17581|0578.tif|https://commons.wikimedia.org/wiki/File:The_Conspiracy_of_the_Batavians_under_Claudius_Civilis_(Rembrandt_Harmensz._van_Rijn)_-_Nationalmuseum_-_17581.tif
17583|0580.tif|https://commons.wikimedia.org/wiki/File:Trumpeter_-_Nationalmuseum_-_17583.tif
17584|0581.tif|https://commons.wikimedia.org/wiki/File:Portrait_of_an_Old_Man_(Rembrandt_Harmensz._van_Rijn)_-_Nationalmuseum_-_17584.tif
17585|0582.tif|https://commons.wikimedia.org/wiki/File:Portrait_of_an_Old_Woman_(Rembrandt_Harmensz._van_Rijn)_-_Nationalmuseum_-_17585.tif
17587|0584.tif|https://commons.wikimedia.org/wiki/File:The_Kitchen_Maid_(Rembrandt_Harmensz._van_Rijn)_-_Nationalmuseum_-_17587.tif
